FolderSpeciesName,Kingdom,Class,Order,Family,Genus,Species,ScientificName,CommonName,Category
Allblack ,NA,NA,NA,NA,NA,NA,False trigger,False trigger,0
Allblack datewrong,NA,NA,NA,NA,NA,NA,False trigger,False trigger,0
Black frame,NA,NA,NA,NA,NA,NA,False trigger,False trigger,0
False trigger,NA,NA,NA,NA,NA,NA,False trigger,False trigger,0
False Trigger,NA,NA,NA,NA,NA,NA,False trigger,False trigger,0
False triggers,NA,NA,NA,NA,NA,NA,False trigger,False trigger,0
Unsorted falsetriggers,NA,NA,NA,NA,NA,NA,False trigger,False trigger,0
Acridotheres javanicus,Animalia,Aves,Passeriformes,Sturnidae,Acridotheres,javanicus,Acridotheres javanicus,Javan myna,1
Javan myna,Animalia,Aves,Passeriformes,Sturnidae,Acridotheres,javanicus,Acridotheres javanicus,Javan myna,1
Amaurornis phoenicurus,Animalia,Aves,Gruiformes,Rallidae,Amaurornis,phoenicurus,Amaurornis phoenicurus,White-breasted waterhen,1
Aplonis panayensis,Animalia,Aves,Passeriformes,Sturnidae,Aplonis,panayensis,Aplonis panayensis,Asian glossy starling,1
Callosciurius notatus,Animalia,Mammalia,Rodentia,Sciuridae,Callosciurus,notatus,Callosciurus notatus,Plantain squirrel,1
Callosciurus natatus,Animalia,Mammalia,Rodentia,Sciuridae,Callosciurus,notatus,Callosciurus notatus,Plantain squirrel,1
Callosciurus notatus,Animalia,Mammalia,Rodentia,Sciuridae,Callosciurus,notatus,Callosciurus notatus,Plantain squirrel,1
Callosicurus notatus,Animalia,Mammalia,Rodentia,Sciuridae,Callosciurus,notatus,Callosciurus notatus,Plantain squirrel,1
Canis familiaris,Animalia,Mammalia,Carnivora,Canidae,Canis,lupus,Canis lupus,Domestic dog - stray,1
Canis lupus,Animalia,Mammalia,Carnivora,Canidae,Canis,lupus,Canis lupus,Domestic dog - stray,1
Canis lupus_familiaris,Animalia,Mammalia,Carnivora,Canidae,Canis,lupus,Canis lupus,Domestic dog - stray,1
Canis lupusfamiliariis,Animalia,Mammalia,Carnivora,Canidae,Canis,lupus,Canis lupus,Domestic dog - stray,1
Canis lupusfamiliaris,Animalia,Mammalia,Carnivora,Canidae,Canis,lupus,Canis lupus,Domestic dog - stray,1
Caprimulgus macrurus,Animalia,Aves,Caprimulgiformes,Caprimulgidae,Caprimulgus,macrurus,Caprimulgus macrurus,Large-tailed nightjar,1
Caprimulgus sp.,Animalia,Aves,Caprimulgiformes,Caprimulgidae,Caprimulgus,NA,Caprimulgus spp.,Nightjar spp.,1
Centropus sinensis,Animalia,Aves,Cuculiformes,Cuculidae,Centropus,sinensis,Centropus sinensis,Greater coucal,1
Calcophaps indica,Animalia,Aves,Columbiformes,Columbidae,Chalcophaps,indica,Chalcophaps indica,Common emerald dove,1
Chalcophaps indica,Animalia,Aves,Columbiformes,Columbidae,Chalcophaps,indica,Chalcophaps indica,Common emerald dove,1
Unidentified bat,Animalia,Mammalia,Chiroptera,NA,NA,NA,Chiroptera spp.,Bats spp.,1
